"Teilnehmer","Startzeit","Endzeit","Quelle","Wie alt bist du?","Mit welchem Geschlecht identifizierst du dich?","In welchem Land bist du geboren?","Wie lautet die Postleitzahl (PLZ) deines Wohnortes?","Wie ist dein Familienstand?","Wie viele Kinder hast du?","Welchen höchsten Bildungsstand hast du erreicht?","In welcher Branche arbeitest du?","Was ist deine aktuelle Haupttätigkeit (trifft am ehesten zu)?","Wie wohnst du?","Wo wohnst du?","Welche Religion hast du?","Viele Leute verwenden die Begriffe 'links' und 'rechts', wenn es darum geht, unterschiedliche politische Einstellungen zu kennzeichnen. Wenn du an deine eigenen politischen Ansichten denkst, wo würdest du diese Ansichten auf dieser Skala (0 =""links"", 10 =""rechts"") einstufen?","Welche Partei würdest du wählen, wenn am kommenden Sonntag Bundestagswahl wäre?","Wen kennst du länger? (Lena)","Wen kennst du länger? (Lucas)","Wer ist der größere Sportler? (Lena)","Wer ist der größere Sportler? (Lucas)","Wer kommt eher zu spät? (Lena)","Wer kommt eher zu spät? (Lucas)","Wer macht mehr Unsinn? (Lena)","Wer macht mehr Unsinn? (Lucas)","Wer ist lustiger? (Lena)","Wer ist lustiger? (Lucas)","Wer wird an der Hochzeit wohl betrunkener sein? (Lena)","Wer wird an der Hochzeit wohl betrunkener sein? (Lucas)","Wer würde eher in einem Horrorfilm überleben? (Lena)","Wer würde eher in einem Horrorfilm überleben? (Lucas)","Wer verbringt mehr Zeit auf der Toilette? (Lena)","Wer verbringt mehr Zeit auf der Toilette? (Lucas)","Wer kann besser mit Geld umgehen? (Lena)","Wer kann besser mit Geld umgehen? (Lucas)","Wer ist vernünftiger? (Lena)","Wer ist vernünftiger? (Lucas)","Wer ist abenteuerlustiger? (Lena)","Wer ist abenteuerlustiger? (Lucas)","Wer wünschst sich mehr einen Hund? (Lena)","Wer wünschst sich mehr einen Hund? (Lucas)","Wer fährt besser Fahrrad nach dem Biergartenbesuch? (Lena)","Wer fährt besser Fahrrad nach dem Biergartenbesuch? (Lucas)","Wer hat mehr Narben? (Lena)","Wer hat mehr Narben? (Lucas)","Wer hat nach einem Tag in der Sonne eher die Hautfarbe eines Hummers? (Lena)","Wer hat nach einem Tag in der Sonne eher die Hautfarbe eines Hummers? (Lucas)","Welchen Nachnamen soll das Brautpaar wählen, wenn es nach dir geht?","Wer verbringt mehr Zeit am Handy? (Lena)","Wer verbringt mehr Zeit am Handy? (Lucas)","Wer ist romantischer? (Lena)","Wer ist romantischer? (Lucas)"
"1","05.08.2024 08:00:04","05.08.2024 08:03:20","Direkter Link","57","Frau","DE ","67435","Verheiratet","5","Allgemeine Hochschulreife","Gesundheitswesen und Pflege","Angestellte/r","Miete","Kleinstadt (5000 - 20000 Einwohner)","Keine","4","Bündnis 90/Die Grünen","1","0","0","1","0","1","0","1","1","1","0","1","1","0","0","1","1","0","1","0","0","1","übersprungen","übersprungen","übersprungen","übersprungen","0","1","1","1","Beide sollen ihren aktuellen Nachnamen behalten","1","0","0","1"
"2","05.08.2024 15:03:31","05.08.2024 15:06:48","Direkter Link","34","Mann","Deutschland","67434","Liiert","0","Promotion","Wissenschaft und Forschung","Arbeitslos, arbeitssuchend","Wohngemeinschaft","Mittelstadt (20000 - 100000 Einwohner)","Keine","2","Volt (Volt Deutschland)","1","0","0","1","1","1","0","1","0","1","1","1","1","0","0","1","0","1","1","0","1","1","1","0","1","1","1","0","1","0","Wallbert-Almann","1","1","0","1"
"3","06.08.2024 13:10:35","06.08.2024 13:16:05","Direkter Link","30","Mann","Deutschland","20099","Liiert","0","Master","Wissenschaft und Forschung","Angestellte/r","Miete","Großstadt (>100000 Einwohner)","Christlich","3","Ich würde nicht wählen gehen /  Ich wüsste nicht was ich wählen soll","1","1","0","1","0","1","0","1","1","0","0","1","1","0","0","1","1","0","1","0","1","1","1","0","1","0","0","1","1","0","Albert-Wallmann","1","0","1","0"
"4","06.08.2024 14:03:29","06.08.2024 14:08:22","Direkter Link","28","Frau","Deutschland ","64293","Verheiratet","2","Master","Kunst, Kultur und Kreatives","Selbstständige/r","Miete","Großstadt (>100000 Einwohner)","Keine","1","Bündnis 90/Die Grünen","1","0","0","1","1","0","0","1","1","1","0","1","1","0","1","1","0","1","1","1","1","0","1","0","1","1","0","1","1","0","Almann-Wallbert","1","0","0","1"
"5","06.08.2024 14:29:37","06.08.2024 14:38:57","Direkter Link","31","Mann","Deutschland","64293","Verheiratet","2","Promotion","Informations- und Kommunikationstechnologie (IT)","Angestellte/r","Miete","Großstadt (>100000 Einwohner)","Christlich","4","Bündnis 90/Die Grünen","1","0","0","1","1","1","1","1","1","1","0","1","1","0","1","1","1","0","1","0","0","1","1","0","0","1","0","1","1","0","Albert-Wallmann","1","0","0","1"
"6","06.08.2024 15:18:46","06.08.2024 15:22:06","Direkter Link","29","Frau","Deutschland","67470","Verheiratet","0","Fachhochschulreife","Tourismus und Gastgewerbe","Angestellte/r","Eigentum","Land (<5000 Einwohner)","Christlich","übersprungen","Möchte ich nicht angeben","1","0","0","1","0","1","0","1","1","0","1","1","1","0","0","1","1","0","1","0","1","1","1","1","1","0","0","1","1","0","Almann","0","1","0","1"
"7","06.08.2024 17:42:33","06.08.2024 17:48:21","Direkter Link","59","Mann","Deutschland ","67435","Verheiratet","5","Diplom","Wissenschaft und Forschung","Angestellte/r","Miete","Kleinstadt (5000 - 20000 Einwohner)","Keine","3","SPD (Sozialdemokratische Partei Deutschlands)","1","0","0","1","0","1","0","1","1","1","0","1","0","1","0","1","1","0","1","0","0","1","1","1","1","0","0","1","1","1","Beide sollen ihren aktuellen Nachnamen behalten","1","1","1","1"
"8","06.08.2024 18:54:54","06.08.2024 18:58:19","Direkter Link","32","Frau","Deutschland ","67434","Liiert","0","Master","Medien und Kommunikation","Angestellte/r","Miete","Mittelstadt (20000 - 100000 Einwohner)","Christlich","3","Bündnis 90/Die Grünen","1","0","0","1","0","1","0","1","1","0","0","1","1","0","0","1","1","0","1","1","1","1","1","0","1","0","0","1","1","0","Almann-Wallbert","1","0","0","1"
"9","06.08.2024 21:36:08","06.08.2024 21:40:36","Direkter Link","27","Mann","Deutschland ","50825","Möchte ich nicht angeben","0","Fachhochschulreife","Transport und Logistik","Angestellte/r","Miete","Großstadt (>100000 Einwohner)","Christlich","4","Möchte ich nicht angeben","1","1","0","1","0","1","0","1","1","0","1","0","0","1","0","1","1","0","1","0","1","1","1","1","1","0","0","1","1","0","Almann-Wallbert","1","0","1","0"
"10","07.08.2024 20:25:58","07.08.2024 20:36:46","Direkter Link","80","Frau","Deutschland ","56203","Verwitwet","1","Bachelor","Andere","Rentner/in, Pensionär/in","Eigentum","Kleinstadt (5000 - 20000 Einwohner)","Keine","5","Möchte ich nicht angeben","1","0","0","1","1","1","1","0","1","0","0","1","0","1","0","1","1","0","1","0","1","0","1","0","1","0","0","1","1","0","Beide sollen ihren aktuellen Nachnamen behalten","1","0","1","0"
